[00:00] 首先 这个案例是关于小划块的检测的案例。
[00:07] 大家再把素材倒入进去之后,可以看到这里面是不是有各种小物块。
[00:13] 这几个小物块是不是绝大部分是合格的,但是少部分物块是不是不合格的。
[00:20] 比如说这个,它是不是不合格的。
[00:23] 除了它不合格之外,我们看看还有没有其他不合格的了。
[00:28] 是不是这个也是不合格的。
[00:30] 是不是啊?再看看其他的,基本就差不多了。
[00:34] 那么这么多划块,这么多物块,咱们该怎么去检测呢?
[00:39] 在这里我们的流程还是先对一个 ToolBlock,在 ToolBlock 做我们的预处理。
[00:48] 在 ToolBlock 里边我们用的工具叫做 Blob工具。
[00:53] 那么这个物块很明显跟背景的色差,灰度值差距是不是很大。
[00:59] 所以说我们可以利用这里的 Blob工具来把这几个物块给单独都提出来变成半点。
[01:07] 那么对于这个案例来说,我们要用 Blob工具的话,极性,设置为什么底什么点呀?
[01:14] 是不是黑底白点?设置为黑底白点点击运行查看结果。
[01:20] 效果是不是就出来了?
[01:22] 效果是不是就出来了?
[01:24] 那么我们在判断这个物块的时候,是判断物块的哪一块区域啊?
[01:31] 是不是白色区域?
[01:33] 那你检测的时候中间的黑色区域是不是被它当做这里的孔呢?
[01:38] 那么这里的孔我们需要吗?
[01:40] 不需要,所以说在测的尺寸当中,把这个孔给过滤掉,把孔给过滤掉。
[01:48] 把孔过滤掉之后剩下的,是不是就剩这个物块了?
[01:52] 所以说我们接下来就基于这个物块去做这个检测。
[01:57] 那么物块的面积合格的面积是多少?
[02:01] 114,是不是?
[02:03] 那么也就是说如果我的面积不是114,那剩下的是不是都是不合格的?
[02:09] 所以说基于这个特征点我们来做一下它的脚本。
[02:15] 创建对应的脚本进入脚本界面,还是这样子,先把三处位置,先标记一下。
[02:22] 第一处位置,Private这里。
[02:27] 然后第二处代码的位置,否议着这里。
[02:33] 第三处代码在最下边的折叠起来的第二个,折叠起来的代码的方法当中。
[02:41] 这里是第三处代码的位置。
[02:49] 那么三处代码位置搞好了之后,那么我们就开始去写这个代码。
[02:56] 那么写这个代码的话还是先获取对应的工具。
[03:01] 那么工具获取的是不是这个Blob工具?
[03:04] 所以说代码的话靠个Blob2,起个名字Blob1,
[03:10] 等于M2Bloc.2字,把这个工具给获取一下。
[03:24] 获取完之后,我们是不是就可以获取它的这个结果了?
[03:30] Intel.es1,等于Blob1的结果里面的获取Blob的这个方法,里面的Count,
[03:43] 把它的数量获取一下。
[03:46] 那么数量获取到之后,我们的目的,
[03:50] 是不是得把它合格的数量和合格的数量都得点出来?
[03:53] 是不是?不合格的数量和合格的数量都得点出来?
[03:57] 那么我们是不是就可以利用Full循环来别立整个的这个班点的这个结果了?
[04:05] 是不是?那么Full循环的循环条件,Intel.es1,等于0,i,小于,2s1,i++,
[04:17] 那么循环条件咱们得出来了。
[04:20] 那内容该怎么写?是不是做判了就可以了?
[04:23] 如果你当前的,就是,如果你当前的这个面积,
[04:32] 当前的这个班点的面积是怎么写的?
[04:34] 叫做Blob1的Retouch点,getBlob,
[04:41] 然后加上这里的方框写上所引之爱,它的面积,
[04:49] 如果正好等于114的话,是不是就符合要求了?
[04:55] 如果不等于114,是不是就不符合要求了?
[04:59] 那么
[05:00] 在代码的框架就搭建出来了。
[05:03] 代码框架搭建出来之后,我们就可以往里写内容了。
[05:09] 怎么写内容?怎么记说?
[05:11] 在FORCE 环的外边创建两个工具人,应得一个合格默认等于零。
[05:19] 再应得一个不合格也默认等于零。
[05:23] 在便利的过程中,如果你当前的这个物块是合格的话,
[05:28] 让合格累加一即可。
[05:33] 如果说不合格的话,就让不合格累加一。
[05:44] 搞定。
[05:45] 那么他们的技术在循环完毕之后,技术是不是就技术完毕了?
[05:51] 是不是?技术完毕之后,是不是就可以用文字工具去做展示了?
[05:56] 那么在这个时候,要用文字工具。
[05:58] 那么在第一出代码这里,来吧,把文字工具创建一下。
[06:02] Private call Graphic label,
[06:07] 起个名字就叫做Label,然后实力画一下。
[06:15] 实力画完毕之后,把这个信息写到文字当中。
[06:26] 叫做合格物块数量。
[06:32] 利用自付出来的拼接,把合格的这个数据得进去。
[06:38] 然后再加不合格物块数量,加上不合格的信息。
[06:48] 这样子的话,他的这个数据是不是就通过文字展示出去了?
[06:53] 那么剩下的,你把文字的这个颜色,位置,自行自体大小,自己去写一些就可以了。
[07:03] 那么在这里大家要注意,我们的物块的面积是不是只有114?
[07:08] 那说明咱们整招头是不是偏小呀?
[07:11] 是不是?
[07:12] 你想了吗?他物块面积是114,
[07:16] 那他长成宽大概就是个十成十左右,是不是?
[07:20] 是不是?
[07:21] 所以说你看,这么长也就实相缩,
[07:24] 那么大概整个图片,是不是大概就是个100左右了?
[07:28] 所以说在这里咱们的X1稍微小一点,5050吧。
[07:33] 在这里有些同学他的这个YGX值太大了,
[07:37] 所以说导致一开始看不到字,以为是出错了,
[07:41] 结果把图片缩小,这就出现了。
[07:44] 那么文字的坐标颜色设置好之后,
[07:48] 再把文字的字体也设置一下,
[07:52] 那么送起24号字搞定,
[07:57] 那么搞定之后,在第三出代码这里,
[07:59] 将咱们的整张内容,是不是输出出去就可以了?
[08:03] 那么我打算输出到一开始的这个图片上啊,
[08:09] 那么回到第三出代码这里,
[08:13] 叫做M2Block.ADD Graphic Touring Recorder的,
[08:22] 那么把对应的参数填进去啊。
[08:33] 图片叫做Cog Blob2E.Input Image,
[08:41] 运行之后没有什么错误,点击运行,效果是不是就摔了?
[08:47] 你看看图,合格的是不是5个,不合格的是不是2个啊?
[08:51] 没毛病吧?运行,合格3个不合格0个,合格6个不合格0个,
[08:56] 合格8个不合格为1个,看到没有?效果到这里为止,
[09:00] 是不是就做出来了?这个案例啊,做法就是这样。
[09:05] 我把代码给你们贴出来,
[09:08] 如果你哪里没有完善的,你可以看着老师的代码,完善一下。
[09:15] 这是第二出代码的内容啊,
[09:19] 你没有完善的,可以看着老师的代码,再完善完善啊。
[09:24] 上完的同学啊,就可以把这个案例关闭保存了。
[09:36] 那么再次打开微信pro,创建一个新项目啊。
[09:53] 然后进入这个作业编辑期当中啊,导入素材。
[10:00] 导入的素材还是交能暗粒。
[10:10] 还是交能暗粒啊。
[10:14] 那么上午咱们是不是通过提高一点难度,
[10:18] 在这个暗粒当中把合格不合格漏装的内容是不是都设置好了啊?
[10:26] 设计到的内容是不是就是通过科学化的便利来进行技术啊?
[10:32] 是不是技术啊?
[10:34] 那么今天上午的做法是这样的,
[10:36] 但是今天下午我还要提高要求,提高什么要求啊?
[10:41] 今天上午你光用一行字把合格不合格漏装的标记出来了,
[10:47] 那漏装的还好理解,对吧?一段字写到这儿,
[10:51] 我一下去看到的话有几个漏装,
[10:53] 但是你用一行字把合格不合格也标出来说不上了,
[10:58] 但是我哪知道谁是合格谁是不合格,你知道吗?
[11:02] 对吧?你作为上去功能的一方你知道,
[11:05] 但是我作为其他部门的人员,
[11:08] 我只看到你个人写了个结果说有多少个合格有多少个不合格,
[11:13] 那么我想看,那究竟是哪一个合格哪一个不合格呢?
[11:18] 那么在这里啊,我叫提高要求了,
[11:21] 提高什么要求?漏装数你还是写到一行,
[11:26] 对吧?漏装几个正常性,但是合格不合格应该怎么写啊?
[11:30] 在每一个交往围上边都要标出文字,
[11:35] 这个是合格的,这个也是合格的,
[11:39] 在每一个交往围上边都标出文字,
[11:44] 这个是接下来的要求啊,
[11:48] 这个要求大家能理解不?
[11:50] 原本就是对着一张字放到上边展示结果,
[11:54] 但是啊,我作为其他部门的人员,我看不懂,
[11:57] 我能看得懂你写的内容,
[11:59] 但是我区分不了究竟是哪一个交往围上吗?
[12:02] 我不知道,你得用文字给我标出,怎么标出啊?
[12:06] 在每一个交往上边都标出文字,
[12:09] 合格合格合格合格合格合格合格合格,都给我标出出来,
[12:12] 一共十五个交往围,你用十五个字给我标出出来,
[12:16] 能听懂不?能听懂不?
[12:19] 这是咱们接下来的要求啊,
[12:21] 那么,这样的要求,大家想一想,别多的时间啊,
[12:28] 大家可以想一想,该怎么实现的?
[12:41] 那么,既然要实现这样的效果,
[12:43] 那咱们肯定是要看代码上的数捧,是不是啊?
[12:46] 那代码之前的准备工作出来还是一样的啊?
[12:49] 所以说,大家先把这个准备工作先做啊,
[12:53] 你先用颜色分割加布拉布的图,我相信大家处理一下,
[12:56] 你先把这个交能的图先给我处理出来啊,
[13:01] 大家先处理一下啊,
[14:13] 先把这个准备工作再先做了,
[15:30] 大家先把准备工作做出来。
[15:46] 准备工作做完之后,我们把脚本创建一下 C-SAP 高级脚本。
[15:57] 把高级脚本创建好之后,先把三处位置标记好。
[16:15] 把三处代码的位置标记好。
[16:18] 从第二处开始写。
[16:21] 一开始,先把工具获取一下。
[16:50] 那么,获取完工具之后,停手。
[16:53] 咱们来分析一下该怎么去实现。
[16:57] 刚刚老师的要求是什么?
[16:59] 原来我们只用了一个文字工具,就把合格不合格漏装的,是不是都表示出来了?
[17:06] 但是这一次,咱们还要再详细一点。
[17:09] 漏装的你还是写到一方。
[17:12] 但是,合格跟不合格的每一个交往上面都要标准好文字。
[17:18] 这个交往是合格的,这个交往是合格的,这个交往是不合格的,这个交往是合格的。
[17:25] 每一个交往上面都要有文字进行描入。
[17:30] 那么,这样子的话,相较于原来的做法,是不是感觉都复杂了?
[17:34] 对,对,对。
[17:35] 但是效果是不是也不是直观?
[17:37] 对,对。
[17:38] 那么,这个效果该怎么实现?
[17:39] 那么,看到这种情形的话,我们可以分析一下,
[17:42] 每一个交往上面都有文字,那再换句话说,
[17:47] 是不是出现几个交往,就写几个文字?
[17:50] 对,对,对,对。
[17:51] 出现几个交往,就写几个文字。
[17:54] 那么,我们是不是最终,最一开始,
[17:57] 是不是还是得把这个结果给便利一下?
[18:00] 所以说,我们先把Blob的结果先便利一下,
[18:05] 叫做先把这个数量获取一下,
[18:09] int1-res1,
[18:11] 等于Blob1的结果的获取班点数量的抗拓,
[18:19] 然后,following还,
[18:22] 摆出来,
[18:24] 选环条件,int1-i,
[18:27] 等于0i-res1i,
[18:32] 那么,在following还当中,我们该怎么实现?
[18:37] 首先,刚刚说了,它有多少个交往,
[18:40] 无论是好的还是坏的,
[18:42] 无论是合格还是不合格的,
[18:44] 是不是都有文字的標注?
[18:46] 那么,有多少个交往就得有多少个文字?
[18:50] 那说明,这个文字是不是创建在following还里面的?
[18:55] 是不是?
[18:57] 因为我们的循环次数,
[19:00] 是不是基于它的数量决定了?
[19:03] 如果它有14个交往,
[19:05] 那咱们就在following还里面创建14个文字,
[19:08] 是不是就可以了?
[19:10] 是不是?
[19:11] 所以说,这一次我们所用到的文字工具,
[19:16] 就得创建到following还里边了,
[19:20] 那么,在里边创建一下吧,
[19:22] 叫做CogGraphicLabel,
[19:30] 起个名字,就叫Label,
[19:32] 等于NewCogGraphicLabel,
[19:37] 在following还里边创建一个文字工具,
[19:42] 那么,这样的效果,
[19:44] 是不是就是,
[19:45] 如果我有多少个交往,
[19:47] 那我是不是就创建多少个文字呀?
[19:50] 是不是?
[19:52] 那么,在following还里边创建的文字的话,
[19:57] 那么,在following还里边,
[19:59] 是不是就可以去判断?
[20:00] 对应便利的这个焦能是合格还是否合格的?
[20:04] 是不是啊?那么我们往下写一下啊。
[20:08] 那么判定的依据,是不是还是那个面积啊?
[20:13] 是不是啊?那么在这里啊,我看一看这一次所分析出来的面积是如何区分的。
[20:24] 那么合格焦能依旧是四千左右啊。不合格焦能依旧是只占一半。
[20:31] 那咱们依旧按照这个三千为基准吧,好不好?
[20:36] 以三千为基准啊,回到代码。
[20:40] 那么判断当前便利的这个文字是否是合格的?
[20:47] 就是便利当前便利这个班点,是不是合格的?
[20:50] 那么在否许方里边做一次判断。
[20:54] 判断谁?判断你当前的这个班点的面积,
[20:59] 叫做Pro1的结果的获取班点的对应所引直的面积。
[21:13] 是否大于等于三千?
[21:16] 如果满足大于等于三千,说明你的这个焦能,是不是就是合格的?
[21:21] 所以说label的text等于合格。
[21:29] 那如果说不满足大于等于三千,那说明它是不是小于三千啊?
[21:35] 所以说啊,文字的内容就是不合格。
[21:43] 那么合格的话,给它一个颜色。
[21:49] 合格的颜色,我们用蓝色吧。
[21:56] 或者说我们就都统一场蓝色吧。
[21:59] 因为用绿色的话,在这个图中确实不好展示啊。
[22:03] 那么我们合格不合格,就光改文字内容就行了。
[22:06] 那么剩下的内容,是不是就可以统一一下啊?
[22:10] 比如说颜色还有字体,是不是都可以统一啊?
[22:17] 是不是啊?
[22:21] 那么大家先跟着老师啊,把这个判断先写出来。
[23:10] 这个代码的逻辑能理解不?
[23:28] 能理解不?
[23:30] 你先跟着老师去写啊。
[23:33] 至于啊,你可能会有一定的疑问。
[23:37] 这个疑问等会儿我会统一的去解决啊。
[23:41] 大家先别着急啊。
[23:45] 先按照咱们的思路,一句一句的完啊行。
[23:48] 既然要给每一个班点都要标注文字,
[23:52] 那咱们的这个文字是不是就只能创建到放映环里面啊?
[23:56] 是不是啊?
[23:58] 是不是啊?
[23:59] 所以说啊,我们循环多少次就是有多少个结果班点。
[24:03] 那么我们循环多少次就创建多少个文字,
[24:07] 然后在每一次循环便利的过程中去判断刀切的这个班点,
[24:14] 结果是合格还是不合格?
[24:30] 那么这个逻辑大家能看懂吗?
[24:33] 那么文字的内容有了,颜色有了,字体也有了,
[24:38] 那文字的坐标该怎么写?
[24:40] 之前咱们的文字坐标是不是就直接写死了啊?
[24:44] 那这一次要求是什么?
[24:46] 是不是给每一个班点的位置标注文字啊?
[24:50] 那班点的位置的话有班点位置的坐标吗?
[24:54] 有没有?
[24:57] 我们看布拉布的这个结果。
[25:00] 有没有它对应的作标呀? 有的啊! Center of Mass X, Center of Mass Y,看到没有?
[25:10] 这个是不是就是你的班点的中心作标呀?
[25:13] 所以说我们利用这里的中心作标将我们的文字放到班点的中心作标上,
[25:21] 那么代码怎么写? 叫做 Label的 X等于等于谁?等于Blob1的结果的获取班点的对应所应值的 Center of Mass X。
[25:44] 那 Label的外作标呢? 也一样啊! 就是你的班点的中心外作标啊! 搞定!
[25:56] 这就是我们在Full循环当中所写的这个逻辑了。
[26:26] 我们在Full循环当中所写的这个逻辑了。
[26:35] 我们在Full循环当中所写的这个逻辑了。
[27:13] 那么这样子的话,你合格跟不合格的文字是不是就按照这个逻辑就出现到了每一个班点上面了?
[27:26] 是不是?按照刚刚的这个逻辑,这个逻辑没问题吧?
[27:31] 是没问题啊?能看懂吗?
[27:34] 能看懂吗?
[27:36] 那么逻辑写是这样子写的,但是你写完之后,那肯定会蒙发出一个问题。
[27:44] 这么多文字咱们该怎么去输出呀?
[27:48] 也没有这个问题啊?
[27:50] 也没有这个问题啊?
[27:52] 你想想吧,咱们通过后续班是不是创建了那么多个文字啊?
[27:59] 那咱们不用说,得在第三处大马之里把这些文字都要输出去了。
[28:04] 那问题来了,这么多文字,我们该怎么输出呀?
[28:08] 明白了。
[28:10] 而且,在我们第二处大马创建的这个webbook,第三处能直接用。
[28:22] 想一下,先把这个逻辑先写出来啊,写出来之后思考一下。
[28:31] 咱们在第二处大马写的这么多逻辑,包括创建了这么多文字,
[28:38] 该怎么样去在第三处大马那里输出呀?
[28:55] 首先啊,这个大马是根据我们的这个思路先写出来的。
[29:01] 那么写出来的这大马,确实按照思路已经把逻辑都履通了。
[29:05] 但是有一个致命的缺陷就是,这个文字我该怎么去输出。
[29:30] 关于各位万老师所写的这个逻辑,都能看懂吧?能看懂吗?
[29:38] 是不是在训划里面创建文字,在每一次训划别立的过程中,
[29:44] 创建一个文字,定标说是合格不合格?是不是那么逻辑?
[29:50] 是不是在训划里面创建文字,在每一次训划别立的过程中,
[29:55] 创建一个文字,定标说是合格不合格?是不是那么逻辑?
[30:00] 这一届就已经履行了,但最后的总结它是得输出呀,咋输出呀?
[30:08] 这Label是不是能输出过这Label?
[30:13] 这Label在第二处代码这里创建的,是不是?
[30:16] 但是我最后是不是得在第三处这里输出呀?
[30:20] 首先第一个问题,你在第二处创建的Label第三处能直接用不?
[30:26] 是不是不能?然后就算是能用,那么你这里的数量确定过?
[30:35] 是不是可能有14个有可能也有可能是5,也有可能是3个?
[30:38] 那么这十几个文字我该怎么样去在这里做输出呀?
[30:43] 势必不确定?
[30:44] 感觉哇,老难了,在这里我们该怎么去解决啊?
[30:50] 我们在这里,大家可以看到,我们在第二处是不是有了很多很多个文字呀?
[30:57] 是不是?那么该怎么样在第二处的这么多文字都在第三处那里做输出?
[31:03] 那么大家在考虑第二处代码的时候,有没有回想到我们第一处代码的作用?
[31:10] 第一处代码的作用是啥?
[31:12] 创建,创建,全局工具,是不是?
[31:16] 那咱们第一处创建的工具,第二处是不是可以用?
[31:20] 第三处是不是也可以用?
[31:22] 那么我给大家引入一个方式,在第一处代码当中,我们可以创建一个集合。
[31:32] 我们可以在第一处代码这里创建一个集合,相当于打包盒。
[31:38] 那么你的第一处创建的打包盒在第二处能不能用?
[31:44] 能不能把这些文字都放到这个盒子里?
[31:48] 能不能?是不是可以呀?
[31:51] 在第二处把这么多东西放到第一处创建的这个盒子里,
[31:55] 那么第一处创建的这个盒子里是不是就有第二处的东西了?
[31:59] 然后再拿着这个盒子,统一放到第三处,逐步去便利出出。
[32:06] 这个形式行不行?
[32:08] 这个形式大家捋一捋,可不可以?
[32:14] 在这里的话,是咱们这里解决这个方式的最有解。
[32:19] 那么就按照老师刚刚给大家提供的这个思路,我们试着去做一下。
[32:25] 那么在微生pro当中,在第一处这里写代码的话,
[32:30] 我们之前是不是光在这里创建一个文字工具?
[32:35] 这一次我们要用多个文字工具,而且它跑到第二处了。
[32:38] 那么在第一处我们就得创建我们要用的这个集合了。
[32:42] 怎么创建?
[32:44] 叫做PrivateCogGraphic
[32:52] 原本的文字是不是CogGraphicLabel?
[32:55] 那么这个集合叫做CogGraphicCollectionColECTIO1
[33:04] 起个名字就叫做Boox盒子,然后实力化一下。
[33:16] 这个就是我们接下来要学习的新内容,就叫做微生pro当中的集合。
[33:23] 叫做CogGraphicCollection,起个名字就叫做Boox,
[33:33] Boox大家都叫做盒子的意思,是不是?
[33:36] 大家就可以把这里的集合当做盒子。
[33:42] 那么在第一处我把盒子创建好了,
[33:45] 那么在第二处我能不能把这些文字都放到这个盒子里?
[33:49] 是不是可以?
[33:52] 怎么放?
[33:54] 这个盒子的用法有点类似于我们的列表,
[33:57] 那么在咱们的文字都创建好之后,
[34:01] 来吧,Boox.
[34:03] 有没有添加的功能?
[34:06] 是啥?
[34:08] 是不是有个ADD?
[34:10] Boox.ADD,那么我们是不是就可以把这里的文字加进去?
[34:15] Label,加到这个盒子里。
[34:21] 在第一处代码创建一个集合,叫做GraphicCollection,
[34:42] 那么这个集合创建好之后,
[34:46] 在第二处代码我们的文字工具设置好之后,
[34:51] 是不是就可以把这个文字工具加到这个Boox当中?
[34:55] 是不是?
[34:57] 是不是?
[35:00] 第二处代码这里,它一共有15个结果。
[35:04] 通过Fall循环,它是不是得循环15次?
[35:08] 是不是?
[35:09] 循环15次,是不是就得创建15个Label?
[35:13] 15个不同的Label,是不是都会加入到这个Books当中?
[35:19] 相当于我们所有的文字,是不是都放到这个盒子里了?
[35:24] 都放到盒子里了,那么这个盒子里面的东西,
[35:27] 我们能不能放到第三处进行统一输出了?
[35:31] 就可以了。
[35:33] 那么第一处创建完,第二处加,
[35:36] 第二处加完,第三处做输出。
[35:39] 那么在第三处怎么输出?
[35:43] 是不是可以便利整个盒子的内容,
[35:46] 它一个一个的往上加呀?
[35:48] 那么代码怎么写?
[35:50] 叫做Fall一次,便利整个盒子。
[35:55] 那么整个盒子的这个名称叫做Collection,
[36:00] 那它里边的单个类型叫做啥?
[36:03] 在这里啊,老实告诉大家,大家直接记住就可以了。
[36:08] 这个集合里边的单个类型叫做Icog Graphical,
[36:16] 完了,这就是这个盒子里边的每一个单个类型叫做Icog Graphical。
[36:24] 起个名字叫做Eight,
[36:27] IinHooks,
[36:30] 然后在它的循环便利当中,
[36:32] 我们就把这里的每一个字极的Eight都做一次输出,
[36:37] 就可以了。
[36:54] 那么这就是第三处代码的写法。
[37:09] 在这里啊,咱们盒子集合的单个类型,
[37:14] 大家要死记住,叫做Icog Graphical。
[37:55] 那么我们把这个图片输出一下,
[37:58] 把这里边的每一个内容都输出到对应的图片上。
[38:25] 那么运行之后,来看看效果,
[38:29] 效果是不是就有了,
[38:32] 这就是该案例的一个做法了。
[38:45] 大家先跟着去写一下,
[38:48] 大家这个效果都做出来了吧?
[38:51] 做出来之后,大家发现,
[38:53] 你看这几个交道上面是不是都有这个文字了?
[38:57] 那么咱们切换图片看看效果,
[39:00] 一起,
[39:02] 你看这里的不合格,
[39:04] 是不是放到不合格的交道上来?
[39:07] 这个没问题吧?
[39:09] 这个没问题吧?
[39:11] 然后发现一个新问题,
[39:13] 你第一张图的这个字怎么还在呢?
[39:17] 是不是啊?
[39:19] 这些,
[39:21] 你的字怎么越变越多了?
[39:25] 看到没有?
[39:27] 为什么会出现这种情况?
[39:31] 为什么会出现啊?
