start	end	text
0	4860	咱们系统的把图片素材的道路给具体的罗列讲一讲
5120	7680	那么其中用到的空间
7940	9480	叫做cog
9740	10740	recorder
11520	12280	display
13060	16140	把这个空间拖载进来啊拖载进来
16640	20480	那么这是我们要展示的这个案例
20980	21500	空间
22780	27140	那么这个案例空间由于是我们外来引入的空间对不对
28140	31500	那么外来引入的空间的话
31760	34820	它在实际搭建的大小当中
36100	38660	与真实运行后的这个大小
38920	40700	它的这个大小是不同的
40960	42240	大家可以看到吧
42760	45820	那么为什么是不同的因为它是外来引入的空间
46080	49160	那么这些空间他们各自的这个大小跟分辨率
49420	50440	是不是不一样
50940	51720	所以说啊
51980	54020	就会导致错位的这种现象
54240	57560	那么防止错位的这种现象发生
57820	59860	我们可以用panel空间
60120	63180	将这个外来引入的空间的范围
63440	64200	给限制死
64980	66520	知道panel空间的作用吧
67020	71120	就是专门往里边放一点空间或者打包空间用的
71380	73940	那么它可以决定你的空间的
74200	75220	长宽比的
75480	76240	最大值
76500	78540	那么我把panel空间就放到这
78800	80600	在panel空间里边
80860	81880	把display
81880	90320	在panel空间里边把display
90580	92620	record display的这个空间
92880	93660	拖转进去
94160	96720	那么这样子你的在
96980	99280	panel里边的这个display空间
99540	102100	无论它大小怎么变
102360	104920	那它是不是永远都超不出panel空间大小
105680	109020	所以说我们就可以把record display的空间
109280	110800	放到panel里边
111000	113680	并设置它的道克属性
113940	115020	为-
115280	117160	那么这样子它的大小
117420	118180	是不是就确定了
118680	121760	它就不会再出现即便的效果了
122280	125080	那么这是咱们今天上午
125340	127140	所讲的布局的
127400	128160	这个问题
128420	131500	然后把这里的按钮设置设置
132260	133540	切换图片
134040	134560	然后
135080	137120	设置设置它的一些属性
138400	140440	关于vfoam空间
140640	143380	有忘记的同学一定要好好地去
143640	145880	回过头来去复习复习
146140	147640	去自己在琢磨琢磨
147880	148580	知道了吧
149080	152180	然后设置一下button1的点击事件
152440	154480	叫做切换图片事件
154980	156480	切换切换
157280	158280	图片事件
162680	163440	next
164720	167280	事件next-clink
171280	174240	把这个点击事件创建一下
174680	177240	那么创建完点击事件
177520	181520	我们就可以通过这个按钮的触发
181720	183440	让用户去触发这个按钮
183440	185240	是不是就可以把图片给导入几圈
185640	188720	那么导入图片的方式有两种
188840	190720	在这里我就都给大家说一下
190720	191920	都给大家说一下
192280	195680	那么导入图片的两种方式第一种
197280	198320	偷机发
200640	205920	偷机发简单说就是通过图片的名字
207320	209440	取一个一个获取
210120	215040	但是获取图片前需要修改图片的
216320	217440	文件名字
218240	220840	也就是说你需要把素材里面的每一个图片
220840	221840	都得改一改
222240	224080	那么第一种偷机发
224440	228040	那么偷机发的导入图片怎么实现
228720	231240	在这里大家把他的这个内容
231240	233440	注释写完之后
233640	236440	我们给该项目的debug当中
236640	238840	给他塞点图片素材
239640	241240	塞点图片素材
242440	243840	那么在debug当中
243840	246640	我们设置一个文件夹就叫做素材
249040	250440	那么在素材里边
250440	252440	我们先导入一些图片
255440	257440	比如说这里的多工匠
258040	270240	把多工匠的内容导入进去
270240	271440	然后给他改名
273440	275040	从0开始0
277040	277640	1
281440	283240	给他一个一个的改名
284040	286640	这就是偷机发的一个使用效果
319040	328840	把图片的名字改完之后
331840	336640	我们把第一种导入图片的方式给写一些
337040	338840	那么具体内容怎么写
338840	341040	是不是就根据他的图片路径
341240	343240	我去一个一个去获取就可以了
343840	344640	是不是
345040	348040	那么我们先把单个图片的
348040	351640	代码路径写进去
352040	352840	怎么写
353240	355640	叫做sdn一个pass
356840	359440	等于Directly
363440	365640	点Gate Correct Directly
366240	369640	然后先我们先获取其中的一张图片
370640	374640	叫做写个素材
375040	378240	这个文件夹里边的0点偏记
379640	384040	我们先把这个素材当中的其中一个图片的路径
384040	385240	先写出来
388440	389840	0点偏记
395840	399240	那么把这个图片路径写出来之后
399440	402040	接下来是不是就可以去读取图片了
403040	403840	是不是
404440	405040	是不是
405840	407240	然后路径有了
407440	409240	接下来读取图片
409440	411640	但是我们的Record Display
411840	413640	它能够读取图片吗
414240	415440	它只能展示
415640	416640	只能让你去看
416840	418240	它不能自己去读
418640	425040	所以说需要借助隐蔑着Fill工具
426040	430040	帮忙读取图片文件
430440	436440	然后将读取图片的结果
436640	440040	用Display展示出来
443640	445640	那么路径写完了
445640	446840	具体代码怎么写
447440	448640	在类里边
448640	452640	因为我们的图片的工具
453040	456840	它可能除了在Cleanke当中使用
456840	457240	它是吧
457240	460240	还可能在其他的事件当中去使用
460840	462840	所以说咱们图方便
463040	468040	就把这里的Image Fill就创建到类里边了
468240	470540	当然如果针对于咱们这个案例
470540	474040	我们创建到方法里边也没问题
479640	481040	那么咱们创建到里边
483040	488840	叫做CogImageFill2
490440	492640	把这个工具创建出来
492640	498440	起个名字叫CFT等于New一下
498840	500640	让它实力化一下
500840	504240	创建ImageFill的这个工具
505040	511240	某人情况下你的提示是可以提示出来的
511440	513440	如果你实在是提示不出来
513440	514840	你可以刷新刷新
515240	516640	看它能不能提示出来
517040	520040	如果你连刷新完还是提示不出来
520240	521640	那就老老实实的
522240	526840	把这个Image Fill对应着的这个
527440	530040	上边的引用自己手动添加
530440	532040	手动添加之后再去使用
532040	532840	听懂没有
533440	534240	听懂没有
535240	538240	把这个Image Fill的工具创建出来
538440	539840	创建出来之后
539840	542640	让这个工具去读取对应的图片
542840	544040	那么代码怎么写
544240	547840	叫做CFT.operator
548640	551840	operator或者operator
552640	557040	.读取图像叫做operator.open
558040	560240	在这个open的方法里边
560240	563040	要把哪张图片进行读取
563640	566840	就把它对应到这个地址写进去
567040	568040	这是第一个参数
569040	570840	那么第一个参数是pass
570840	571840	那第二个参数啥
572640	575840	第二个参数是它里边自带的一种模式
576240	577840	你要对这个图片要干什么
578640	580040	是读 是不是
580440	581440	我们要读取图片
581840	583840	所以说模式是读
584040	591440	叫做CogImage FillModeConstance.reader
593640	595840	我们要对这张图像去读
596440	599240	所以说用的是reader读取图像
599840	603240	那么模式和路径都设置好了
603440	605440	那么就可以激活该工具
605840	607240	让它run一下
607640	610640	那么一run那里边的工具的图片
610840	612240	是不是就都读出来了
612640	613840	读出来之后
614040	617640	那么就把它读出来的这张图片的效果
618040	622440	用这里的record display 1来展示出来
622640	623640	那么怎么展示啊
624040	626640	record display 1.image
627440	631640	等于CFT.output image
632040	633840	就是它的运行后的图像
634240	637240	那么这样子你的图像是不是就出来了
638040	638640	是不是
639640	640640	加个注释
644640	650040	image fill工具运行后的结果
651040	659040	图像用Display去展示即可
661040	665640	那么这就是第一种偷鸡法的一个最简单的一种写法
666440	671440	那么写完之后我们可以启动运行啊看看效果
673440	677640	运行之后啊点图像是不是就出来了
678240	680240	那么这是第一张图像
680440	682240	偷鸡法的一个写法
683040	686040	那么第一张图我们已经读出来了
686240	689840	那么让它是不是就得连续不断的去切换图片啊
690240	691640	那么怎么切换图片
691840	694040	是不是就可以根据这里的路径这里的零
694640	696840	做一定的技巧
697640	699040	我们就不用写死零了
699040	701640	我们用一个变量去表示
702040	703840	那么这个变量创建到外边啊
703840	705840	因为它每次都要去记录
706040	708040	那么在外边创建一个变量
708040	713640	int一个那么一默认等于零
714040	715040	那么在这里啊
715040	720440	就把你素材名字的这里的数字就变成那么来表示了
723440	725040	这个能理解不
726240	727040	能理解不
728040	730040	数字用那么一来表示
730240	731440	然后默认是零
731440	733840	那它读的是不是就是零点偏间
734240	736840	那读完之后让那么一加加
740040	742440	然后加加之后是不是就不成一了
742640	744840	那下次再读是不是就一点偏间
746040	747640	那再点再加加
747840	749840	是不是就读2点偏间
750240	752640	然后直到最后一张图截止
752840	754840	那么在我们导入的这个图像当中
754840	756440	最后一张图是不是14啊
756840	758440	所以说我们就要判断了啊
758840	761840	如果你最后一张读完之后
761840	763840	是不是14点评计读完了
764040	766440	读完之后最后是不是又加加一次变15了
766840	767840	所以说我们判断
767840	770440	如果那么一啊大于等于15
770640	772440	那么就让它这个那么一
773440	775240	归零就可以了
776040	780640	那么这样子用第一种偷鸡法来实现的效果
780840	781840	是不是就出来了
782640	784840	点击起头来看看效果
787440	788840	切切切切切
788840	789640	看到没有
790240	792240	是不是每次图片就全切出来了
793240	793840	是不是啊
794640	796440	然后大家再看大屏幕啊
796840	799640	咱们第一次把图片导入的时候
800040	801640	你可以看看一切
802640	804440	每次第一次切换的时候
804440	807040	你看你的图片是不是只长这个样子
807640	810240	是不是没有把所有的图片给展示完全啊
810840	813040	你是不是还得手动调他的这个策剧
813440	815240	来查看他的整体图像
815640	817240	如果你不想这样子调
817440	820640	你一开始就让他正好达到最大图像的话
820840	823640	那么你就可以在你展示图片的后边
823840	824840	再加一句
825240	827840	recorder record display一点废话
828040	830440	让你的图片自动你和大象
830840	832840	从而实现正好的一个效果
833040	835040	就不用你认为的去调大小了
835240	836240	这个能听懂不
838040	841040	让图片自适应大象
841640	844440	那么这就是用第一种偷鸡法
844440	846040	来表示图片的一个内容
846840	848240	那么第一种方法
848240	850440	大家自己去写一下
851840	853240	第二种扫描法
853240	854440	咱们快速的写一下
854840	856240	那么扫描法的话
856240	857640	他的效果啊
857840	859040	先创建
859440	861040	那不先创建什么
863040	867240	创建保存图像的文件夹
867240	871240	创建保存图像的文件夹
871640	874040	叫做死军一个pass
875440	877640	等于derived correctly
877640	879640	点get correct directly
880040	882440	加上写告素材
882840	885640	把你保存图像的文件夹设置了
886240	893040	然后设置需要扫描的文件后追名
893440	895840	那么你要扫什么类型的图片啊
896240	900040	你创建一个自伏创述组写出来
900240	903440	叫做names等于后追名
904040	909840	比如说我要扫描后追名为点png的图片
910040	913440	那么你就在里边写入新号点png
914040	915440	那么除了png图片
915440	915540	是吧
915540	916640	还有其他格式的
917040	918840	比如说点jpg
919040	919840	是不是也有
920840	923940	比如说点bmp
923940	924740	是不是也有
926540	930740	比如说点jpg
930740	931540	是不是也有
932040	936940	所以说把你想要扫描的图片后追名
937340	938140	写进去
938740	941940	那么这是需要扫描的文件后追名
942340	948840	然后第三个是创建保存图像路径的集合
949240	950640	那么用列表来做
951040	954840	那么列表的话用自伏创类型的列表就可以了
955440	956840	那么pXS
960440	963440	创建保存图像路径的一个集合
966540	969640	那么把这三者创建好之后
970040	974340	接下来就可以通过便利整个文件后追名
974640	976440	来进行扫描了
976840	978540	那么便利整个后追名
978740	980440	那么是不是就是先便利
980640	983640	看一看这个文件里面有没有png的格式
983740	985440	如果有机给它保存起来
985540	986640	然后再循环
986740	989140	再看看这个读文件里面有没有gpg的图
989240	991240	是不是就按照这个逻辑来进行便利的
991740	995440	所以说把后追名的数组便利一下
995540	997240	在每次便利的过程中
997340	1000240	如果获取到了对应的图像
1000440	1002740	那么获取的图像是不是可能不止一个
1003040	1006240	所以说我们用一个自伏创的数组做一次接收
1007240	1014740	那么代码叫做这里的derai.getfuse
1015140	1016440	然后passname
1016840	1019240	在这里把参数填进去指的就是
1019340	1022440	在哪个文件夹当中去扫描
1022540	1026340	以及在这个文件夹当中扫描哪个格式
1026540	1027640	在这里写内蒙
1028240	1031640	在这里你是不是就每一次循环便利
1031740	1034440	就把符合要求的格式的文件
1034640	1035740	是不是就获取到了
1036140	1037140	获取到了之后
1037240	1040040	就把这么多图片的各自的路径
1040340	1042640	保存到集合列表当中
1042940	1045540	那么代码pictures.addrange
1046340	1048640	把这里保存进去就可以了
1049240	1052240	那么这就是扫描的整体逻辑
1066340	1069140	扫描出来符合要求的文件
1069540	1072240	路径保存到列表中
1073640	1075540	那么通过这样一扫描
1075740	1077740	是不是就把这个文件当中
1077840	1081540	你想要的这么多pngg gpg bmpgpg的图
1081840	1083840	是不是就全部都扫出来并保存到
1084040	1085340	这里的列表当中了
1086040	1086740	是不是
1087140	1089540	那都保存到这个列表当中之后
1090140	1091340	就可以去读图下了
1092340	1094740	那么这是扫描的代码
1094940	1096540	那么扫描完毕之后
1096740	1097540	来吧
1097740	1098740	读取图像
1098940	1099740	怎么读啊
1099940	1101340	还是像上面一样
1101540	1104140	创建对应的email.file
1107140	1108140	的工具
1108540	1109140	起个名
1109340	1110140	cft
1110540	1111340	实力画一下
1111740	1113740	然后还是同样的道理
1113940	1117140	把里边的每一个值的路径去读一读
1117340	1119140	那么我们先试试
1119940	1121340	那么我们先试着
1121540	1122940	先读其中的一个路径
1123140	1127340	叫做cft.operator.open
1129340	1131340	然后在pass
1131540	1133540	在这个列表里边去读啊
1133740	1135340	叫做pictures
1135540	1137140	固定一个第一张图
1137340	1138140	所以之零
1138340	1139140	先读一读
1139540	1140940	然后第二个参数
1142340	1143940	模式是读取图片
1144140	1144540	瑞德
1149540	1150740	那么这里的逻辑啊
1150740	1152940	跟上面的逻辑就基本类似了
1152940	1154740	也是读取图像
1154740	1156540	通过这个工具
1156540	1158340	帮忙读完之后
1158540	1161140	再把结果用Display展示出来啊
1161740	1163140	那么读完之后
1163340	1164540	让它运行一下
1165340	1166740	cft.run
1170140	1171140	run完之后
1173340	1175060	把最终的结果展示到
1175060	1177540	record display 上面就可以了
1177940	1180540	那么这个代码跟上面的代码就类似了
1181340	1183140	大家可以跟它写一下啊
1189740	1193540	那么这就是扫描法的初步逻辑了
1193940	1196540	那我们可以看看扫描法的初步逻辑
1196940	1200340	它第一次的第一张图能不能读取到
1200740	1202540	来当我点键按钮
1202540	1205540	点第一张图是不是就出来了啊
1205940	1208740	那么我要实现切换图片的效果
1208740	1212340	是不是就得把这里的锁影值改成一个
1212540	1213340	变量啊
1213540	1215340	那么这个变量上面那么一
1215340	1216740	是不是我们已经创建好了啊
1216940	1218540	正好也是零嘛
1218740	1220540	所以说我们就用这个那么一啊
1220540	1221740	来实现效果
1221940	1224340	然后多玩图片那么一加加
1225940	1227940	然后防止锁影越界
1227940	1229740	在每次读图片的时候
1229740	1230940	先判断一手
1231540	1233340	判断你的这个数量
1233540	1236140	能否超过你的列表的整体数量啊
1236340	1237940	那么就是如果你的那么一
1238340	1241340	大于等于你的这个列表pictures.cont
1241740	1243940	如果大于等于就说明超出去了
1244140	1246140	就得让你的锁影值归零啊
1246540	1247540	这个能理解吧
